// 각 줄에서 겹슬래시 "//" 및 별슬래시 "/*"에 이어지는 텍스트는 모두 주석으로 취급됩니다.
// 번역 파일에 별슬래시를 사용하여 주석을 작성하면 추출 파일에도 가능한 보존됩니다.
// "//*"와 같이 사용하면 겹슬래시로 취급됩니다.
// 
// 이름 추출시 아래와 같은 형태로 기록됩니다.
// 
// 키(원본 이름)->활성 이름
// 
// 키: 각 이름을 참조하는 고유값입니다. 다르거나 잘못 기입하면 번역이 적용되지 않습니다.
// 원본 이름: 키가 가리키는 원래 이름입니다.
// 활성 이름: 추출 시점에서 해당하는 키에 적용된 이름입니다. 이 부분을 수정한 파일을 정해진 경로에 위치시키면 림월드 실행 시 해당 이름으로 번역됩니다.
// 
// 이름은 "이름 [별명] 성" 세트로 구성되거나 단일 낱말입니다.
// 이름의 각 구성 요소 내부의 공백은 반영되나, 양 끝의 공백은 제거됩니다.
// 예를 들어, 별명 부분이 "  슝 좍  " 인 경우 "슝 좍"으로 적용됩니다.
// 
// 추출된 이름은 번역 파일 내에서 활성 이름을 기준으로
// 1. 각 요소가 모두 원본과 다른 이름 (완전히 번역된 이름)
// 2. 이름과 성은 원본과 다르지만 별명만 같은 이름
// 3. 이름이나 성 중 하나라도 원본과 같은 이름
// 순서로 정렬됩니다.
// 
// 번역 파일의 위치는 '모드 폴더/Languages/사용 언어 폴더/Strings/Names' 이며, 파일 이름은 변경되어선 안됩니다.

// 1. [Fully Translated]
60dc9de6(Kyphis [Bard] Talrathian)->카이피스 [바드] 탈라시안
fbb6e843(Robert [Ki] Kitzmueller)->로베르트 [키] 키츠뮐러
b3aa8967(Marcus [Marcus] Rudzok)->마커스 [마커스] 루조크
0c5ef584(Talal [Jumpey] Almuneer)->탈랄 [점피] 알무니르
03a6b795(Torben [Marmor] Friedel)->토르벤 [대리석] 프리델
c8cd1c7d(Florian [Pfal] Pfeil)->플로리안 [팔] 파일
cacf8c7e(Brian [Cops] O'Neill)->브라이언 [경찰' 오] 닐
fbab79c5(Brandon [Dean] Napier)->브랜던 [딘] 네이피어
864b864e(Chris [Cat] Catlin)->크리스 [캣] 캐틀린
048d8b2b(Andrew [Rim] Gross)->앤드루 [림] 그로스
af718d66(Arca [Mithat] Coruh)->아르카 [미타트] 코루흐
f98fcece(Paul [Pan] An)->폴 [판] 안
26ff35af(Yorko [Yorko] Langerak)->요르코 [요르코] 랑어라크
bc050b99(Lucas [Ronfort] Ronfort)->루카스 [론포트] 론포트
52617862(Patrick [Gregorz] Gregorz)->패트릭 [그레고시] 그레고시
967f6d05(Rowden [Rowdy] Verdone)->로우든 [로우디] 베르도네
e239f7a8(Dennis [Becki] Becker)->데니스 [베키] 베커
42518f6a(Vargas [Esaron] Aaron)->바르가스 [에사론] 에런
6eed85b4(Denis [Linde] Linde)->데니스 [린데] 린데
e667e56e(Finn [Herpich] Herpich)->핀 [헤르피치] 헤르피치
8309adb9(Marshall [Cooke] Cooke)->마셜 [쿡] 쿡
952f85f0(Connor [Tarzan] Gabriel)->코너 [타잔] 가브리엘
bbc894e3(Tsume [Tsume] Shiro)->츠메 [츠메] 시로
090e31e1(Isaac [Isaac] Flyheight)->아이작 [아이작] 플라이하이트
ae117cf8(Rafael [Raf] Tole)->라파엘 [라프] 톨
06c93a60(Adam [Korish] Garrison)->아담 [코리시] 개리슨
18907c14(Jamison [Jamie] Ward)->제이미슨 [제이미] 워드
2e21c555(Zureal [Ox] McOdiv)->주리얼 [황소] 맥오디브
f75a1d5d(Rene [Rene] Keil)->르네 [르네] 케일
25c6cf4d(Kefodu [Keefy] Coolton)->케포두 [키피] 쿨턴
2d2fb4bc(John [Herbie] Hancock)->존 [허비] 핸콕
5b74108d(Walter [Jensen] Jensen)->월터 [젠슨] 젠슨
36739608(James [Magpie] Yekel)->제임스 [까치] 예켈
e2a554e7(Jamie [Jay] Cameron)->제이미 [제이] 캐머런
f2bd4a14(Levy [Wilson] Wilson)->레비 [윌슨] 윌슨
61e14ea2(Mike [Meat] Hotham)->마이크 [고기] 핫햄
7855b786(Alexander [Alex] Eriksson)->알렉산데르 [알렉스] 에릭손
ab5f55b1(Louis [Double] Bromilow)->루이스 [더블] 브로밀로우
3a383a03(Mike [Peaches] Hoyle)->마이크 [피치스] 호일
8d22565b(Samson [Sam] Sower)->샘슨 [샘] 소어
f94f286f(Jason [Kogio] Collison)->제이슨 [코기오] 콜리슨
409db86d(Colin [Mackay] Mackay)->콜린 [맥케이] 맥케이
b4b13fec(Erik [Wraith] Vaid)->에릭 [망령] 바이드
1ffd07ed(Luke [Hunter] Hunter)->루크 [헌터] 헌터
80593652(Helge [Helge] Holm)->헬게 [헬게] 홀름
857243a8(Pierre [Pierre] Mura)->피에르 [피에르] 무라
0972ec37(Woong Gun [Gun] Choi)->웅건 [건] 최
83664140(Hendrik [Wilka] Wilka)->헨드릭 [빌카] 빌카
5320774c(Yuriika [Yuri] Takahashi)->유리카 [유리] 타카하시
e8a856cb(Stefan [Vilpula] Vilpula)->스테판 [빌풀라] 빌풀라
db127339(Mike [Atlas] Norman)->마이크 [아틀라스] 노먼
0d4eb160(Morten [Nyppe] Nyrup)->모르텐 [뉘페] 뉘루프
2619abb9(Dominik [Föhl] Föhl)->도미니크 [푈] 푈
2dfee0be(Kylar [Snow] Snowlock)->카일라 [스노우] 스노우록
1fc6747a(Elad [Elad] Difficult)->엘라드 [엘라드] 디피컬트
2dbeafc1(Jörn [Huxi] Huxhorn)->요른 [훅시] 훅스혼
4aaa3d58(Christopher [Chris] Irving)->크리스토퍼 [크리스] 어빙
c111b2a6(Nuno [Flores] Andrade)->누노 [플로레스] 안드라데
ce33dcb3(Matthew [Matthew] Wesley)->매튜 [매튜] 웨슬리
6d4d3f29(Anthony [Macca] McDonald)->앤서니 [맥카] 맥도날드
dcb997b2(Mikal [Drago] Blak)->미칼 [드라고] 블라크
ee718dc7(Montecore [Montecore] Quigle)->몬테코어 [몬테코어] 퀴글
16e35193(Ian [Ian] Lang)->이안 [이안] 랭
fa869b5f(Thomas [Kytes] Delannoy)->토마스 [카이츠] 들라누아
c760fa54(Daniel [Professor] Gruhn)->다니엘 [프로페서] 그룬
1d3b7620(Dwayne [Mundy] Mundy)->드웨인 [먼디] 먼디
933db4d0(Benton [Skipper] Bowen)->벤턴 [스키퍼] 보웬
cfbffab1(Mark [Dougie] Douglas)->마크 [더기] 더글라스
7ca00fe2(Dave [Dave] Rowe)->데이브 [데이브] 로우
88c279b8(David [Doc] Rennie)->데이비드 [닥터] 레니
462822ed(Matti [Rintala] Rintala)->마티 [린탈라] 린탈라
e67c22e4(Daniel [Dano] McClain)->다니엘 [다노] 맥클레인
5444fb5c(Andy [Scotsman] McMellon)->앤디 [스코츠맨] 맥멜런
82a44138(Donald [Don] Veale)->도널드 [돈] 빌
ac3ee1dd(Jordane [Tama] Lemasson)->조르단 [타마] 르마송
16cf7032(Vladislav [Vlad] Krivosheev)->블라디슬라프 [블라드] 크리보셰예프
61e5eaf6(Christoph [Chris] Schaefer)->크리스토프 [크리스] 셰퍼
91956138(Ethan [Ethan] Dunsmore)->이선 [이선] 던스모어
b7e4b509(Loïc [Sharyn] Moindrault)->로이크 [샤린] 무앵드로
e3c69df2(Andrew [Andrew] Gwynn)->앤드루 [앤드루] 그윈
d0c2b868(Alexandr [Sash] Pek)->알렉산드르 [새시] 펙
fe565b0c(Christoffer [Stoffern] Sandnes)->크리스토페르 [스토페른] 산드네스
43be28c8(Adrian [John] Tam)->에이드리언 [존] 탐
41f51499(Jesse [Ozog] Ozog)->제시 [오조크] 오조크
18a710a0(Eric [Drills] Grimm)->에릭 [드릴스] 그림
4b45f894(Lance [Baker] Baker)->랜스 [베이커] 베이커
ce2319c9(Kirill [Sky] Svirin)->키릴 [스카이] 스비린
09c54b3e(Tyler [Crafter] Meiburg)->타일러 [크래프터] 마이부르크
19558c31(David [Davidou] Scheigam)->다비트 [다비두] 샤이감
73da58a5(Drew [Drew] MacLean)->드루 [드루] 맥린
9b389e40(Lars [Stiltman] Eriksson)->라스 [스틸트맨] 에릭손
bfec4933(Azmond [Azzy] Frendaira)->아즈몬드 [아지] 프렌다이라
dcde0289(Truman [Truman] Hanks)->트루먼 [트루먼] 행크스
e7a682f5(Piotr [Peetron] Petronov)->표트르 [피에트론] 페트로노프
cbfdd93d(Jeremy [Tacos] Minx)->제레미 [타코스] 밍스
9f11e7b8(Jakob [Jakob] Ironwolf)->제이콥 [제이콥] 아이언울프
15fcd8b4(Adonis [Genny] Genesis)->아도니스 [젠니] 제네시스
84dff915(Michael [Dabs] Pinto)->마이클 [댑스] 핀토
94a234bc(Gave [Pandy] Lipardi)->게이브 [판디] 리파르디
bf1b10a0(Richard [Nelson] Nelson)->리처드 [넬슨] 넬슨
824bf594(Aaron [Aaron] Gilman)->에런 [에런] 길먼
01e14d80(Jason [Combat] Chen)->제이슨 [컴뱃] 첸
68726193(Yew Turk [Turk] Cheng)->예 투르크 [투르크] 청
2c3205f4(Matthew [Frito] Alline)->매튜 [프리토] 알라인
68c66fb4(Keegan [Kegs] James)->키건 [케그스] 제임스
845192e2(Jay [Flanker] Bailey)->제이 [플랭커] 베일리
881f82fb(Eric [Eric] Sullivan)->에릭 [에릭] 설리번
0a2a1199(Erik [Kross] Jay)->에릭 [크로스] 제이
c615d4e7(Raymond [Luxury] Yacht)->레이먼드 [럭셔리] 요트
78cd444e(Snay [Bear] Ragnarsson)->스네이 [곰] 라그나르손
210cbe63(Sam [Killjoy] Hille)->샘 [킬조이] 힐
672130a9(Kai [Snid] Barnard)->카이 [스니드] 바너드
97e63cd0(Darren [Huntsman] Miles)->대런 [헌츠맨] 마일스
e6e3eb85(Robin [Hulta] Hultgren)->로빈 [훌타] 훌트그렌
f4f66fbd(Samuel [Boring] Cunningham)->사무엘 [보링] 커닝햄
e6ff7212(Maximilian [Max] Wolter)->막시밀리안 [막스] 볼터
7fa73afd(Grant [Grant] Stiffler)->그랜트 [그랜트] 스티플러
a4ae3a36(Stian [Storm] Haga)->스티안 [스톰] 하가
3dfdc399(Sam [Squanch] Squanch)->샘 [스콴치] 스콴치
d657dd46(Emmanuel [Emmanuel] Debans)->엠마누엘 [엠마누엘] 데반스
287aa7d5(Nicolas [Nick] Castillo)->니콜라스 [닉] 카스티요
b5d1f342(Derikus [Derikus] Blaze)->데리커스 [데리커스] 블레이즈
09794deb(Andrew [Baldrick] Moore)->앤드루 [볼드릭] 무어
cd75ff85(Jordan [Doozy] Van Dusen)->조던 [두지] 반 두센
6c19f045(Kyan [Kyan] Paterson)->키언 [키언] 패터슨
cf495659(Nathan [van Loon] van Loon)->네이선 [반 룬] 반 룬
2cba339f(Colin [Korinu] Frick)->콜린 [코리누] 프릭
27832a8a(Sun [Ra] Ra)->선 [라] 라
a2da694f(Kieran [Scotsman] Stoneman)->키어런 [스코츠맨] 스톤맨
be2b131b(Frants [Hvass] Hvass)->프란츠 [바스] 바스
f9e9ca90(Kearyn [Fuzzball] Ethan)->키어린 [퍼즈볼] 이선
0b9cfe34(Thomas [Thomas] Frewer)->토마스 [토마스] 프루어
27563576(Garrett [King] Arthuring)->개럿 [킹] 아서링
fa2aee52(Winfried [Frieder] Baumann)->빈프리트 [프리더] 바우만
085f1841(Dominik [Domi] Schulze)->도미니크 [도미] 슐체
448ec096(Rex [Bit] Peter)->렉스 [비트] 피터
e5ed1528(Kasper [Keezly] Johansson)->카스퍼 [키즐리] 요한슨
106a54e2(Bastian [Revaine] Elderkin)->바스티안 [르베인] 엘더킨
84ca925c(Bryan [Scoop] Barnes)->브라이언 [스쿱] 반스
85625198(Kyle [McIntyre] McIntyre)->카일 [매킨타이어] 매킨타이어
8ffc1402(Patrick [Remington] Van Dusen)->패트릭 [레밍턴] 반 두센
cdefd147(Brandon [Dropkick] Lilya)->브랜던 [드롭킥] 릴리아
0e06c28f(Henrik [Bish] Aasted)->헨리크 [비쉬] 아스테드
45762887(Craig [Reece] Reece)->크레이그 [리스] 리스
90c22439(Sven [Sven] Linke)->스벤 [스벤] 링크
65f8f712(Colin [Twig] McCann)->콜린 [트위그] 맥캔
2213cabc(Maciek [Magic] Rodzianko)->마치에크 [매직] 로지안코
4cdd711c(Mark [Blue] Steventon)->마크 [블루] 스티븐턴
f38480b7(Jukka [Jukelius] Kytola)->유카 [유켈리우스] 퀴톨라
4bc21146(David [Tishberg] Tishberg)->데이비드 [티시버그] 티시버그
dbea0b53(Logan [Log] Grim)->로건 [로그] 그림
c4afb64f(Richard [Trick] Woodruff)->리처드 [트릭] 우드러프
258fe732(Daniil [Suhov] Kazarin)->다닐 [수호프] 카자린
5ada6e63(Michael [Mason] Woycke)->미하엘 [메이슨] 보이케
eeb0cff3(Tanek [Terabyte] Eros)->타넥 [테라바이트] 에로스
7746969e(David [Turner] Turner)->데이비드 [터너] 터너
25cdc43c(Ryan [Ginger] Riordan)->라이언 [진저] 리오던
04eb6124(Dimo [Dak] Ar'kacho)->디모 [닥' 아르] 카초
1e442bb6(Luke [Gisler] Gisler)->루크 [기슬러] 기슬러
184dd1ce(Robin [Skinney] Hansen)->로빈 [스키니] 한센
47ad05c6(Anfernee [Anfernee] Mason)->앤퍼니 [앤퍼니] 메이슨
764c8212(David [Iceberg] Bergman)->데이비드 [빙산] 버그먼
62cdda0a(Joel [Joel] Marks)->조엘 [조엘] 마크스
b471dd12(Joseph [Steve] Malewski)->조셉 [스티브] 말레프스키
229b3c14(Joey [Joey] Szalavary)->조이 [조이] 살라바리
196ced9e(Marco [Marco] Allione)->마르코 [마르코] 알리오네
86267bd9(Lars [Mech] Mechtenberg)->라르스 [메크] 메히텐베르크
cac3664b(Jordan [Jordy] Blunt)->조던 [조디] 블런트
cab8e122(Olivier [Ollie] Mulder)->올리비에 [올리] 멀더
fb8b5072(Tim [Boehm] Boehm)->팀 [보헴] 보헴
b2f021cd(Stewart [Willy] Wilson)->스튜어트 [윌리] 윌슨
f6c63133(William [Wonkas] Haddock)->윌리엄 [웡카스] 해덕
7ad84604(Balthazar [Lindsay] Lindsay)->발타자르 [린지] 린지
35ed9d15(Radom [Maro] Maroszek)->라돔 [마로] 마로셰크
764c01f0(Brandon [Wingfield] Wingfield)->브랜던 [윙필드] 윙필드
acd806f6(Robert [Rob] Crisp)->로버트 [롭] 크리스프
8b1382f4(Samuel [Sam] Woodcock)->사무엘 [샘] 우드콕
e51b888a(Shintaro [Shintaro] Nagaishi)->신타로 [신타로] 나가이시
edde4d97(Hollis [Butler] Butler)->홀리스 [버틀러] 버틀러
79902dc9(Konstantin [Kottrup] Kottrup)->콘스탄틴 [코트루프] 코트루프
2e07d501(Steffen [Josefsen] Josefsen)->슈테펜 [요세프센] 요세프센
0ce1fc6a(Kyle [Kyle] Santana)->카일 [카일] 산타나
e89a6692(Rufus [Barleysheath] Barleysheath)->루퍼스 [발리시스] 발리시스
537ca0ac(Resper [Resper] Shadebender)->레스퍼 [레스퍼] 셰이드벤더
def203f4(Vincent [Cutillas] Cutillas)->빈센트 [쿠티야스] 쿠티야스
65948959(Hogni [Solsker] Solsker)->호그니 [솔스케르] 솔스케르
4c1232a1(Lucas [Dean] Dean)->루카스 [딘] 딘
3325460d(Andos [Finjinimo] Finjinimo)->안도스 [핀지니모] 핀지니모
03576629(Andrew [Andrew] Fenn)->앤드루 [앤드루] 펜
a5b64935(Jim [Jimbo] Bowers)->짐 [짐보] 바워스
48146910(Mathew [Mat] Cormier)->매튜 [맷] 코미어
54cfa0e4(Adam [Adam] Foster)->아담 [아담] 포스터
9c12da6c(Jari [Nurro] Nurro)->야리 [누로] 누로
6b21c411(Alexander [Alex] Fecht)->알렉산더 [알렉스] 페히트
8361ddeb(Luke [Luke] Baker)->루크 [루크] 베이커
9ec9e8df(Ross [Rosco] Smith)->로스 [로스코] 스미스
fb48335a(Richard [Beardy] Gillen)->리처드 [비어디] 길렌
79b0c312(Daryoon [Lonewolf] Lonewolf)->다륜 [론울프] 론울프
81579ba3(Reza [Reza] Maalin)->레자 [레자] 말린
72a63dc1(David [Hentschel] Hentschel)->다비트 [헨첼] 헨첼
0ac1747e(Milorad [Anta] Antic)->밀로라드 [안타] 안틱
bf58184d(Per [Per] Trondsen)->페르 [페르] 트론센
cfef125c(Matt [Slug] Moss)->매트 [슬러그] 모스
fb330693(Ashley [Ash] Gibbs)->애슐리 [애쉬] 깁스
44622504(Shintaro [Kisaragi] Kisaragi)->신타로 [키사라기] 키사라기
c0ef71a7(Na'morham [Nam] Santorin)->나 [모르함 '남] 산토린
3d6a2371(Pawel [Pawel] Rawdanik)->파베우 [파베우] 라브다닉
45cffa39(Evgeny [Geni] Shcherbinin)->예브게니 [게니] 셰르비닌
411be4f3(Curtis [Ski] Stalesky)->커티스 [스키] 스탈레스키
08131ee8(Björn [Buddha] Dieterson)->비요른 [붓다] 디터슨
af37d6d9(Adam [Adam] Studdart)->아담 [아담] 스터다트
38929e28(Fabien [Borshy] Borsh)->파비앙 [보르샤이] 보르시
da432c89(Kevin [Zaph] Burfitt)->케빈 [자프] 버핏
4d3ec7b1(Brad [Cline] Cline)->브래드 [클라인] 클라인
51c6f7d8(Joseph [Joe] Hughes)->조셉 [조] 휴스
703ef96a(Martin [Nilsson] Nilsson)->마틴 [닐슨] 닐슨
ad297075(Sergei [Serg] Meranov)->세르게이 [세르지] 메라노프
29507933(Delanthor [Dell] Telnati)->델란토르 [델] 텔나티
db180e02(Lukas [Skjuka] Scheuermann)->루카스 [슈카] 쇼이어만
0496f6e3(Tiago [Ticolino] Leifert)->티아구 [티콜리노] 라이페르트
71d85ef2(Alexander [Crunchy] Wilshire)->알렉산더 [크런치] 윌셔
b29197f8(Mark [Styx] Schutte)->마크 [스틱스] 슈테
7a51cc2e(Jordan [Bear] Bear)->조던 [곰] 베어
082297ea(Wren [Wren] Akula)->렌 [렌] 아쿨라
ac6409d2(Virgile [Robles] Robles)->비르질 [로블레스] 로블레스
f84e1532(Benjamin [Two-Order] Perks)->벤저민 [투-오더] 퍽스
ba358db8(Brian [Little] Little)->브라이언 [리틀] 리틀
995ef0e6(Chris [Fiddler] Langdon)->크리스 [피들러] 랭던
bcab43e3(Guy [Guy] Wilson)->가이 [가이] 윌슨
7bc6ea0e(Daniel [Dan] Allen)->다니엘 [댄] 앨런
8fc34643(Johan [Milde] Milde)->요한 [밀데] 밀데
3f5e5c4a(Gabriel [Gabe] Carvalho)->가브리엘 [게이브] 카르발류
9033f366(Riker [Rike] Alexander)->라이커 [라이크] 알렉산더
16523bc5(Patrick [Patrick] Gaunt)->패트릭 [패트릭] 곤트
1f8bffa9(Ned [Reindahl] Reindahl)->네드 [라인달] 라인달
625f4812(Louis [Puppeteer] Vilenger)->루이스 [인형사] 빌렌저
fc712afa(Josh [Ons] Onsone)->조쉬 [온스] 온스원
d62b6a8a(Robert [Slappywag] Frumkin)->로버트 [슬래피왜그] 프럼킨
c1172bab(Robin [Robin] Tönniges)->로빈 [로빈] 퇴니게스
cf65ca46(Eddie [Harrington] Harrington)->에디 [해링턴] 해링턴
6f9ed714(Percival [Percy] Le'monde)->퍼시벌 [퍼시' 르] 몽드
f9d0c2d8(Brock [Koly] Koly)->브록 [콜리] 콜리
4ce6b0cf(Nathan [Nathan] Robinson)->네이선 [네이선] 로빈슨
3a63d054(Geir [Fugl] Johannessen)->게이르 [푸글] 요한네센
fe4bd7de(Joel [Mailman] Wanser)->조엘 [메일맨] 완서
237e3918(Jonatan [Jonny] Matthies)->요나탄 [요니] 마티스
2ce6bf30(Andres [El Hefe] Fontero)->안드레스 [엘 헤페] 폰테로
2421cd29(Austen [Austen] Swearinger)->오스틴 [오스틴] 스웨어링거
c0f01018(Alexandre [Alex] Rideaux)->알렉상드르 [알렉스] 리도
f56f16ee(Vale [Anderson] Anderson)->베일 [앤더슨] 앤더슨
6b369eb5(Charles [Mem] Nycand)->찰스 [멤] 나이캔드
5977024c(Rob [Chooky] McGinley)->롭 [추키] 맥긴리
b274efd8(Daniel [Reebs] Rebella)->다니엘 [리브스] 리벨라
01e9fe6d(Glenn [Wycroe] Manser)->글렌 [와이크로] 맨서
5a822fd3(Chuck [Moser] Moser)->척 [모저] 모저
6046e6af(Brightson [Ceems] Sylvester)->브라이트슨 [시임스] 실베스터
2ad206e7(Paul [Paul] Hodgins)->폴 [폴] 호진스
45c404ea(Steven [Ninja] Chavez)->스티븐 [닌자] 차베스
b01873a9(James [Dusey] Dusenbury)->제임스 [두시] 두센베리
561dd783(Jordan [Wally] Wicker)->조던 [월리] 위커
9b23ba47(Ryan [Ryan] Lietz)->라이언 [라이언] 리츠
a3dc34de(Burdock [Burdock] Niss)->버독 [버독] 니스
79486431(Josh [Beamer] Smelser)->조쉬 [비머] 스멜저
118d32db(Keith [Keith] Brandt)->키스 [키스] 브란트
c61af28a(Nicklas [Nick] von Plenker)->니클라스 [닉] 폰 플렌커
dc721299(Nicholas [Nicho] Brueggemann)->니콜라스 [니코] 브뤼게만
d53ca8e1(Timothy [Tim] Radder)->티모시 [팀] 라더
81944fee(Theodore [Theo] Gifford)->시어도어 [테오] 기퍼드
85c1d953(Morfran [Wolfie] Wolfe)->모르브란 [울피] 울프
651b62b7(Otto [Bolsha] Nieminen)->오토 [볼샤] 니에미넨
b376fa36(Carlos [Laser] Hernando)->카를로스 [레이저] 에르난도
963f7ba7(Jared [Rocket] Crawford)->재러드 [로켓] 크로포드
efac5a07(Edward [Edward] Spiezio)->에드워드 [에드워드] 스피에치오
91f6fac7(Lucas [Choo] Rybolt)->루카스 [추] 라이볼트
c387ca81(Jake [Henry] Henry)->제이크 [헨리] 헨리
89d419b3(Ragni [Ragni] Halbtatze)->라그니 [라그니] 할프타체
4c171bf9(Zev [Battad] Battad)->제브 [바타드] 바타드
ec773b29(Joel [Joel] Rodgers)->조엘 [조엘] 로저스
9855364b(William [Will] Stoll)->윌리엄 [윌] 스톨
8b68703d(Serge [Red] Leroux)->세르주 [레드] 르루
73ce1b6d(Adrian [Toasty] Neill)->에이드리언 [토스티] 닐
4323e582(Finn [Brokin] Brokin)->핀 [브로킨] 브로킨
33addcdb(David [David] Kyht)->데이비드 [데이비드] 카이트
be53783b(Zachary [Zach] Sam)->재커리 [잭] 샘
d06aa23a(Zachary [Zachary] McGuire)->재커리 [재커리] 맥과이어
ffeecfdd(Bill [Dozer] Dozer)->빌 [도저] 도저
ab52a718(Jacob [Waka] Mohr)->제이콥 [와카] 모어
bfee3c65(Douglas [Stumpy] DeVault)->더글라스 [스텀피] 드볼트
61ded702(Myles [Myles] Simpson)->마일스 [마일스] 심슨
5e47d3c6(Bernhard [Berni] Meier)->베른하르트 [베르니] 마이어
6b27139e(Mike [Quad] Quady)->마이크 [쿼드] 쿼디
5a6686fd(James [Jimbob] Knight)->제임스 [짐밥] 나이트
71ecfdbf(Patric [Patric] Leonhed)->파트리크 [파트리크] 레온헤드
b7cc5a79(Steve [Steve] Harvey)->스티브 [스티브] 하비
5f8c4f28(Willem [Willem] Kupper)->빌렘 [빌렘] 쿠퍼
36dac472(Christian [Toft] Toft)->크리스티안 [토프트] 토프트
9ba7385d(Thomas [Teapot] Potter)->토마스 [티포트] 포터
10fec8d6(Michael [Mike] Casavant)->마이클 [마이크] 카사반트
